2765 E WABASH AVE,BUILDING PERMIT,2,7/24/1950,1950LA13135,
2765 E WABASH AVE,BUILDING PERMIT,ALTERATION,3/23/1988,1988LA92774,
2765 E WABASH AVE,BUILDING PERMIT,BLDG-NEW,1/24/1930,1930LA01506,
2765 E WABASH AVE,BUILDING PERMIT,NEW CONSTRUCTION,3/12/1979,1979LA79011,
2765 E WABASH AVE,COMMISSION,BAAB BOARD FILE,12/31/1981,BF 810559,
2765 E WABASH AVE,GRADING,FOUNDATION INVESTIGATION REPOR,10/17/1949,,
2765 E WABASH AVE,RANGE FILE,MISCELLANEOUS,12/18/1981,,
